[00:00:00.038] (7ff04a1ff6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.039] (7ff04a1ff6c0) INFO   CONTAINER LIST: [{"STATE": "STOPPED", "IPV6": "", "SNAPSHOTS": "1", "IPV4": "", "TYPE": "CONTAINER", "NAME": "TEST-MongoDB-Ubuntu"}]
[00:00:00.075] (7ff04a1ff6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.075] (7ff04a1ff6c0) INFO   OUTPUT: [{"DESCRIPTION": "", "": "", "DRIVER": "btrfs", "USED BY": "3", "SOURCE": "/var/lib/lxd/disks/default.img", "STATE": "CREATED", "NAME": "default"}]
[00:00:00.116] (7ff04a1ff6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.116] (7ff04a1ff6c0) INFO   OUTPUT: []
[00:00:00.169] (7ff04a1ff6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.169] (7ff04a1ff6c0) INFO   DATA: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64"}
[00:00:00.169] (7ff04a1ff6c0) INFO   OUTPUT: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64"}
[00:00:00.200] (7ff04a1ff6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.201] (7ff04a1ff6c0) INFO   OUTPUT: []
