[00:00:00.035] (7f05e65f26c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.036] (7f05e65f26c0) INFO   CONTAINER LIST: [{"STATE": "STOPPED", "IPV6": "", "TYPE": "CONTAINER", "NAME": "TEST-MongoDB-Ubuntu", "IPV4": "", "SNAPSHOTS": "1"}]
[00:00:00.072] (7f05e65f26c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.072] (7f05e65f26c0) INFO   OUTPUT: [{"DRIVER": "btrfs", "DESCRIPTION": "", "": "", "NAME": "default", "SOURCE": "/var/lib/lxd/disks/default.img", "STATE": "CREATED", "USED BY": "3"}]
[00:00:00.107] (7f05e65f26c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.107] (7f05e65f26c0) INFO   OUTPUT: []
[00:00:00.152] (7f05e65f26c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.152] (7f05e65f26c0) INFO   DATA: {"Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:00.152] (7f05e65f26c0) INFO   OUTPUT: {"Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:00.190] (7f05e65f26c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.190] (7f05e65f26c0) INFO   OUTPUT: []
