[00:00:01.979] (7f67b5dec6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:01.980] (7f67b5dec6c0) INFO   CONTAINER LIST: [{"TYPE": "CONTAINER", "NAME": "TEST-MongoDB-Ubuntu", "SNAPSHOTS": "1", "STATE": "STOPPED", "IPV4": "", "IPV6": ""}]
[00:00:01.999] (7f67b5dec6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:01.999] (7f67b5dec6c0) INFO   OUTPUT: [{"": "", "DRIVER": "btrfs", "NAME": "default", "STATE": "CREATED", "SOURCE": "/var/lib/lxd/disks/default.img", "DESCRIPTION": "", "USED BY": "3"}]
[00:00:02.018] (7f67b5dec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:02.018] (7f67b5dec6c0) INFO   OUTPUT: []
[00:00:02.046] (7f67b5dec6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:02.047] (7f67b5dec6c0) INFO   DATA: {"Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Type": "container"}
[00:00:02.047] (7f67b5dec6c0) INFO   OUTPUT: {"Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Type": "container"}
[00:00:02.070] (7f67b5dec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:02.070] (7f67b5dec6c0) INFO   OUTPUT: []
