[00:00:00.000] (7fc6585ed6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:02.509] (7fc6585ed6c0) INFO   CONTAINER LIST: [{"IPV6": "", "TYPE": "CONTAINER", "SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu", "STATE": "STOPPED", "IPV4": ""}]
[00:00:02.510] (7fc6585ed6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:02.529] (7fc6585ed6c0) INFO   OUTPUT: [{"STATE": "CREATED", "DESCRIPTION": "", "USED BY": "3", "": "", "DRIVER": "btrfs", "SOURCE": "/var/lib/lxd/disks/default.img", "NAME": "default"}]
[00:00:02.530] (7fc6585ed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:02.549] (7fc6585ed6c0) INFO   OUTPUT: []
[00:00:02.549] (7fc6585ed6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:02.576] (7fc6585ed6c0) INFO   DATA: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64", "Type": "container"}
[00:00:02.576] (7fc6585ed6c0) INFO   OUTPUT: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64", "Type": "container"}
[00:00:02.577] (7fc6585ed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:02.595] (7fc6585ed6c0) INFO   OUTPUT: []
