[00:00:00.000] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.025] (7fc65a7fe6c0) INFO   CONTAINER LIST: [{"IPV4": "", "NAME": "TEST-MongoDB-Ubuntu", "SNAPSHOTS": "1", "STATE": "STOPPED", "IPV6": "", "TYPE": "CONTAINER"}]
[00:00:00.025] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.047] (7fc65a7fe6c0) INFO   OUTPUT: [{"STATE": "CREATED", "USED BY": "3", "DESCRIPTION": "", "": "", "DRIVER": "btrfs", "NAME": "default", "SOURCE": "/var/lib/lxd/disks/default.img"}]
[00:00:00.047] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.066] (7fc65a7fe6c0) INFO   OUTPUT: []
[00:00:00.067] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.092] (7fc65a7fe6c0) INFO   DATA: {"Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.092] (7fc65a7fe6c0) INFO   OUTPUT: {"Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.092] (7fc65a7fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.109] (7fc65a7fe6c0) INFO   OUTPUT: []
