[00:00:00.000] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.029] (7fc6583ec6c0) INFO   CONTAINER LIST: [{"STATE": "STOPPED", "SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu", "IPV4": "", "IPV6": "", "TYPE": "CONTAINER"}]
[00:00:00.029] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.051] (7fc6583ec6c0) INFO   OUTPUT: [{"USED BY": "3", "STATE": "CREATED", "NAME": "default", "SOURCE": "/var/lib/lxd/disks/default.img", "DESCRIPTION": "", "DRIVER": "btrfs", "": ""}]
[00:00:00.051] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.073] (7fc6583ec6c0) INFO   OUTPUT: []
[00:00:00.073] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.100] (7fc6583ec6c0) INFO   DATA: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Status": "STOPPED", "Architecture": "x86_64", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.100] (7fc6583ec6c0) INFO   OUTPUT: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Status": "STOPPED", "Architecture": "x86_64", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.100] (7fc6583ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.119] (7fc6583ec6c0) INFO   OUTPUT: []
