[00:00:00.000] (7efd66bf56c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.028] (7efd66bf56c0) INFO   CONTAINER LIST: [{"IPV6": "", "TYPE": "CONTAINER", "SNAPSHOTS": "1", "STATE": "STOPPED", "IPV4": "", "NAME": "TEST-MongoDB-Ubuntu"}]
[00:00:00.028] (7efd66bf56c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.049] (7efd66bf56c0) INFO   OUTPUT: [{"DRIVER": "btrfs", "SOURCE": "/var/lib/lxd/disks/default.img", "USED BY": "3", "DESCRIPTION": "", "": "", "NAME": "default", "STATE": "CREATED"}]
[00:00:00.049] (7efd66bf56c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.070] (7efd66bf56c0) INFO   OUTPUT: []
[00:00:00.070] (7efd66bf56c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.097] (7efd66bf56c0) INFO   DATA: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.097] (7efd66bf56c0) INFO   OUTPUT: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.098] (7efd66bf56c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.116] (7efd66bf56c0) INFO   OUTPUT: []
