[00:00:00.000] (7f84eb3f96c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.030] (7f84eb3f96c0) INFO   CONTAINER LIST: [{"SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu", "IPV4": "", "TYPE": "CONTAINER", "STATE": "STOPPED", "IPV6": ""}]
[00:00:00.030] (7f84eb3f96c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.052] (7f84eb3f96c0) INFO   OUTPUT: [{"": "", "NAME": "default", "STATE": "CREATED", "USED BY": "3", "SOURCE": "/var/lib/lxd/disks/default.img", "DRIVER": "btrfs", "DESCRIPTION": ""}]
[00:00:00.052] (7f84eb3f96c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.071] (7f84eb3f96c0) INFO   OUTPUT: []
[00:00:00.071] (7f84eb3f96c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.096] (7f84eb3f96c0) INFO   DATA: {"Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.096] (7f84eb3f96c0) INFO   OUTPUT: {"Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.097] (7f84eb3f96c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.116] (7f84eb3f96c0) INFO   OUTPUT: []
