[00:00:00.000] (7f14283ec6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:02.878] (7f14283ec6c0) INFO   CONTAINER LIST: [{"STATE": "STOPPED", "IPV6": "", "NAME": "TEST-MongoDB-Ubuntu", "IPV4": "", "SNAPSHOTS": "1", "TYPE": "CONTAINER"}]
[00:00:02.879] (7f14283ec6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:02.899] (7f14283ec6c0) INFO   OUTPUT: [{"": "", "SOURCE": "/var/lib/lxd/disks/default.img", "NAME": "default", "DRIVER": "btrfs", "STATE": "CREATED", "USED BY": "3", "DESCRIPTION": ""}]
[00:00:02.899] (7f14283ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:02.921] (7f14283ec6c0) INFO   OUTPUT: []
[00:00:02.921] (7f14283ec6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:02.948] (7f14283ec6c0) INFO   DATA: {"Status": "STOPPED", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:02.948] (7f14283ec6c0) INFO   OUTPUT: {"Status": "STOPPED", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:02.948] (7f14283ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:02.968] (7f14283ec6c0) INFO   OUTPUT: []
