[00:00:00.000] (7f4aac5ed6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.088] (7f4aac5ed6c0) INFO   CONTAINER LIST: [{"TYPE": "CONTAINER", "IPV6": "", "NAME": "TEST-MongoDB-Ubuntu", "SNAPSHOTS": "1", "IPV4": "", "STATE": "STOPPED"}]
[00:00:00.088] (7f4aac5ed6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.109] (7f4aac5ed6c0) INFO   OUTPUT: [{"": "", "USED BY": "3", "DESCRIPTION": "", "STATE": "CREATED", "SOURCE": "/var/lib/lxd/disks/default.img", "DRIVER": "btrfs", "NAME": "default"}]
[00:00:00.109] (7f4aac5ed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.129] (7f4aac5ed6c0) INFO   OUTPUT: []
[00:00:00.129] (7f4aac5ed6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.152] (7f4aac5ed6c0) INFO   DATA: {"Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Type": "container", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.152] (7f4aac5ed6c0) INFO   OUTPUT: {"Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Type": "container", "Created": "2025/07/11 17:04 AEST"}
[00:00:00.152] (7f4aac5ed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.174] (7f4aac5ed6c0) INFO   OUTPUT: []
