[00:00:00.000] (7fbb31ded6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.027] (7fbb31ded6c0) INFO   CONTAINER LIST: [{"TYPE": "CONTAINER", "STATE": "STOPPED", "NAME": "TEST-MongoDB-Ubuntu", "IPV4": "", "IPV6": "", "SNAPSHOTS": "1"}]
[00:00:00.027] (7fbb31ded6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.051] (7fbb31ded6c0) INFO   OUTPUT: [{"NAME": "default", "": "", "USED BY": "3", "DRIVER": "btrfs", "DESCRIPTION": "", "STATE": "CREATED", "SOURCE": "/var/lib/lxd/disks/default.img"}]
[00:00:00.051] (7fbb31ded6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.072] (7fbb31ded6c0) INFO   OUTPUT: []
[00:00:00.072] (7fbb31ded6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.102] (7fbb31ded6c0) INFO   DATA: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Architecture": "x86_64", "Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:00.102] (7fbb31ded6c0) INFO   OUTPUT: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Architecture": "x86_64", "Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:00.102] (7fbb31ded6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.123] (7fbb31ded6c0) INFO   OUTPUT: []
