[00:00:00.000] (7fb6927f26c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.035] (7fb6927f26c0) INFO   CONTAINER LIST: [{"NAME": "TEST-MongoDB-Ubuntu", "STATE": "STOPPED", "IPV6": "", "TYPE": "CONTAINER", "SNAPSHOTS": "1", "IPV4": ""}]
[00:00:00.035] (7fb6927f26c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.055] (7fb6927f26c0) INFO   OUTPUT: [{"STATE": "CREATED", "USED BY": "3", "DRIVER": "btrfs", "DESCRIPTION": "", "NAME": "default", "SOURCE": "/var/lib/lxd/disks/default.img", "": ""}]
[00:00:00.055] (7fb6927f26c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.078] (7fb6927f26c0) INFO   OUTPUT: []
[00:00:00.079] (7fb6927f26c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.106] (7fb6927f26c0) INFO   DATA: {"Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Architecture": "x86_64", "Type": "container"}
[00:00:00.107] (7fb6927f26c0) INFO   OUTPUT: {"Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Status": "STOPPED", "Architecture": "x86_64", "Type": "container"}
[00:00:00.107] (7fb6927f26c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.128] (7fb6927f26c0) INFO   OUTPUT: []
