[00:00:00.000] (7fb6941ff6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.081] (7fb6941ff6c0) INFO   CONTAINER LIST: [{"IPV6": "", "TYPE": "CONTAINER", "SNAPSHOTS": "1", "IPV4": "", "STATE": "STOPPED", "NAME": "TEST-MongoDB-Ubuntu"}]
[00:00:00.081] (7fb6941ff6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.107] (7fb6941ff6c0) INFO   OUTPUT: [{"DRIVER": "btrfs", "NAME": "default", "DESCRIPTION": "", "STATE": "CREATED", "SOURCE": "/var/lib/lxd/disks/default.img", "USED BY": "3", "": ""}]
[00:00:00.108] (7fb6941ff6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.131] (7fb6941ff6c0) INFO   OUTPUT: []
[00:00:00.131] (7fb6941ff6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.160] (7fb6941ff6c0) INFO   DATA: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64"}
[00:00:00.161] (7fb6941ff6c0) INFO   OUTPUT: {"Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64"}
[00:00:00.161] (7fb6941ff6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.185] (7fb6941ff6c0) INFO   OUTPUT: []
