[00:00:00.000] (7f5260bed6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.027] (7f5260bed6c0) INFO   CONTAINER LIST: [{"NAME": "TEST-MongoDB-Ubuntu", "STATE": "STOPPED", "IPV4": "", "SNAPSHOTS": "1", "TYPE": "CONTAINER", "IPV6": ""}]
[00:00:00.027] (7f5260bed6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.046] (7f5260bed6c0) INFO   OUTPUT: [{"NAME": "default", "DRIVER": "btrfs", "USED BY": "3", "DESCRIPTION": "", "": "", "STATE": "CREATED", "SOURCE": "/var/lib/lxd/disks/default.img"}]
[00:00:00.046] (7f5260bed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.066] (7f5260bed6c0) INFO   OUTPUT: []
[00:00:00.066] (7f5260bed6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.092] (7f5260bed6c0) INFO   DATA: {"Created": "2025/07/11 17:04 AEST", "Type": "container", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64"}
[00:00:00.092] (7f5260bed6c0) INFO   OUTPUT: {"Created": "2025/07/11 17:04 AEST", "Type": "container", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64"}
[00:00:00.092] (7f5260bed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.114] (7f5260bed6c0) INFO   OUTPUT: []
