[00:00:00.000] (7f1d74df06c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.026] (7f1d74df06c0) INFO   CONTAINER LIST: [{"IPV4": "", "IPV6": "", "SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu", "TYPE": "CONTAINER", "STATE": "STOPPED"}]
[00:00:00.026] (7f1d74df06c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.048] (7f1d74df06c0) INFO   OUTPUT: [{"USED BY": "3", "": "", "NAME": "default", "DRIVER": "btrfs", "SOURCE": "/var/lib/lxd/disks/default.img", "DESCRIPTION": "", "STATE": "CREATED"}]
[00:00:00.048] (7f1d74df06c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.070] (7f1d74df06c0) INFO   OUTPUT: []
[00:00:00.070] (7f1d74df06c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.099] (7f1d74df06c0) INFO   DATA: {"Status": "STOPPED", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu", "Type": "container"}
[00:00:00.100] (7f1d74df06c0) INFO   OUTPUT: {"Status": "STOPPED", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu", "Type": "container"}
[00:00:00.100] (7f1d74df06c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.120] (7f1d74df06c0) INFO   OUTPUT: []
