[00:00:00.000] (7fe7e67f36c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.108] (7fe7e67f36c0) INFO   CONTAINER LIST: [{"SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu", "IPV6": "", "TYPE": "CONTAINER", "STATE": "STOPPED", "IPV4": ""}]
[00:00:00.108] (7fe7e67f36c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.131] (7fe7e67f36c0) INFO   OUTPUT: [{"NAME": "default", "STATE": "CREATED", "USED BY": "3", "DRIVER": "btrfs", "": "", "SOURCE": "/var/lib/lxd/disks/default.img", "DESCRIPTION": ""}]
[00:00:00.131] (7fe7e67f36c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.156] (7fe7e67f36c0) INFO   OUTPUT: []
[00:00:00.156] (7fe7e67f36c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.187] (7fe7e67f36c0) INFO   DATA: {"Name": "TEST-MongoDB-Ubuntu", "Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.187] (7fe7e67f36c0) INFO   OUTPUT: {"Name": "TEST-MongoDB-Ubuntu", "Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.188] (7fe7e67f36c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.207] (7fe7e67f36c0) INFO   OUTPUT: []
