[00:00:00.000] (7fdd34fec6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.034] (7fdd34fec6c0) INFO   CONTAINER LIST: [{"IPV4": "", "NAME": "TEST-MongoDB-Ubuntu", "STATE": "STOPPED", "IPV6": "", "TYPE": "CONTAINER", "SNAPSHOTS": "1"}]
[00:00:00.035] (7fdd34fec6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.060] (7fdd34fec6c0) INFO   OUTPUT: [{"NAME": "default", "SOURCE": "/var/lib/lxd/disks/default.img", "": "", "STATE": "CREATED", "USED BY": "3", "DESCRIPTION": "", "DRIVER": "btrfs"}]
[00:00:00.061] (7fdd34fec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.085] (7fdd34fec6c0) INFO   OUTPUT: []
[00:00:00.085] (7fdd34fec6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.119] (7fdd34fec6c0) INFO   DATA: {"Architecture": "x86_64", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.119] (7fdd34fec6c0) INFO   OUTPUT: {"Architecture": "x86_64", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.119] (7fdd34fec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.143] (7fdd34fec6c0) INFO   OUTPUT: []
