[00:00:00.000] (7fdd373fe6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.044] (7fdd373fe6c0) INFO   CONTAINER LIST: [{"SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu", "TYPE": "CONTAINER", "IPV4": "", "STATE": "STOPPED", "IPV6": ""}]
[00:00:00.044] (7fdd373fe6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.071] (7fdd373fe6c0) INFO   OUTPUT: [{"DESCRIPTION": "", "USED BY": "3", "SOURCE": "/var/lib/lxd/disks/default.img", "": "", "STATE": "CREATED", "NAME": "default", "DRIVER": "btrfs"}]
[00:00:00.071] (7fdd373fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.098] (7fdd373fe6c0) INFO   OUTPUT: []
[00:00:00.098] (7fdd373fe6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.135] (7fdd373fe6c0) INFO   DATA: {"Last Used": "2025/07/11 17:05 AEST", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64"}
[00:00:00.135] (7fdd373fe6c0) INFO   OUTPUT: {"Last Used": "2025/07/11 17:05 AEST", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Architecture": "x86_64"}
[00:00:00.135] (7fdd373fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.160] (7fdd373fe6c0) INFO   OUTPUT: []
