[00:00:00.000] (7f6aa0df16c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.030] (7f6aa0df16c0) INFO   CONTAINER LIST: [{"STATE": "STOPPED", "IPV4": "", "NAME": "TEST-MongoDB-Ubuntu", "IPV6": "", "TYPE": "CONTAINER", "SNAPSHOTS": "1"}]
[00:00:00.030] (7f6aa0df16c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.049] (7f6aa0df16c0) INFO   OUTPUT: [{"USED BY": "3", "STATE": "CREATED", "DRIVER": "btrfs", "NAME": "default", "DESCRIPTION": "", "SOURCE": "/var/lib/lxd/disks/default.img", "": ""}]
[00:00:00.050] (7f6aa0df16c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.070] (7f6aa0df16c0) INFO   OUTPUT: []
[00:00:00.070] (7f6aa0df16c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.099] (7f6aa0df16c0) INFO   DATA: {"Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Type": "container"}
[00:00:00.100] (7f6aa0df16c0) INFO   OUTPUT: {"Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Type": "container"}
[00:00:00.100] (7f6aa0df16c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.120] (7f6aa0df16c0) INFO   OUTPUT: []
