[00:00:00.000] (7f6aa27fe6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.034] (7f6aa27fe6c0) INFO   CONTAINER LIST: [{"TYPE": "CONTAINER", "SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu", "IPV6": "", "IPV4": "", "STATE": "STOPPED"}]
[00:00:00.034] (7f6aa27fe6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.054] (7f6aa27fe6c0) INFO   OUTPUT: [{"DRIVER": "btrfs", "STATE": "CREATED", "": "", "USED BY": "3", "DESCRIPTION": "", "SOURCE": "/var/lib/lxd/disks/default.img", "NAME": "default"}]
[00:00:00.054] (7f6aa27fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.077] (7f6aa27fe6c0) INFO   OUTPUT: []
[00:00:00.077] (7f6aa27fe6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.112] (7f6aa27fe6c0) INFO   DATA: {"Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED"}
[00:00:00.112] (7f6aa27fe6c0) INFO   OUTPUT: {"Type": "container", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED"}
[00:00:00.112] (7f6aa27fe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.133] (7f6aa27fe6c0) INFO   OUTPUT: []
