[00:00:00.005] (7f74a49f06c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:04.061] (7f74a49f06c0) INFO   CONTAINER LIST: [{"IPV4": "", "IPV6": "", "SNAPSHOTS": "1", "STATE": "STOPPED", "NAME": "TEST-MongoDB-Ubuntu", "TYPE": "CONTAINER"}]
[00:00:04.061] (7f74a49f06c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:04.083] (7f74a49f06c0) INFO   OUTPUT: [{"DESCRIPTION": "", "USED BY": "3", "STATE": "CREATED", "NAME": "default", "DRIVER": "btrfs", "": "", "SOURCE": "/var/lib/lxd/disks/default.img"}]
[00:00:04.083] (7f74a49f06c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:04.105] (7f74a49f06c0) INFO   OUTPUT: []
[00:00:04.105] (7f74a49f06c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:04.131] (7f74a49f06c0) INFO   DATA: {"Type": "container", "Status": "STOPPED", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:04.132] (7f74a49f06c0) INFO   OUTPUT: {"Type": "container", "Status": "STOPPED", "Architecture": "x86_64", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:04.132] (7f74a49f06c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:04.150] (7f74a49f06c0) INFO   OUTPUT: []
