[00:00:00.000] (7fc5587ed6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.030] (7fc5587ed6c0) INFO   CONTAINER LIST: [{"NAME": "TEST-MongoDB-Ubuntu", "SNAPSHOTS": "1", "IPV4": "", "TYPE": "CONTAINER", "IPV6": "", "STATE": "STOPPED"}]
[00:00:00.030] (7fc5587ed6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.052] (7fc5587ed6c0) INFO   OUTPUT: [{"NAME": "default", "USED BY": "3", "DRIVER": "btrfs", "SOURCE": "/var/lib/lxd/disks/default.img", "DESCRIPTION": "", "": "", "STATE": "CREATED"}]
[00:00:00.053] (7fc5587ed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.074] (7fc5587ed6c0) INFO   OUTPUT: []
[00:00:00.074] (7fc5587ed6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.109] (7fc5587ed6c0) INFO   DATA: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Architecture": "x86_64"}
[00:00:00.109] (7fc5587ed6c0) INFO   OUTPUT: {"Last Used": "2025/07/11 17:05 AEST", "Type": "container", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Architecture": "x86_64"}
[00:00:00.109] (7fc5587ed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.129] (7fc5587ed6c0) INFO   OUTPUT: []
