[00:00:00.000] (7fb278fed6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.037] (7fb278fed6c0) INFO   CONTAINER LIST: [{"TYPE": "CONTAINER", "SNAPSHOTS": "1", "STATE": "STOPPED", "IPV6": "", "IPV4": "", "NAME": "TEST-MongoDB-Ubuntu"}]
[00:00:00.037] (7fb278fed6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.059] (7fb278fed6c0) INFO   OUTPUT: [{"USED BY": "3", "SOURCE": "/var/lib/lxd/disks/default.img", "DESCRIPTION": "", "STATE": "CREATED", "DRIVER": "btrfs", "": "", "NAME": "default"}]
[00:00:00.060] (7fb278fed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.080] (7fb278fed6c0) INFO   OUTPUT: []
[00:00:00.080] (7fb278fed6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.107] (7fb278fed6c0) INFO   DATA: {"Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Architecture": "x86_64", "Status": "STOPPED", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.108] (7fb278fed6c0) INFO   OUTPUT: {"Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Architecture": "x86_64", "Status": "STOPPED", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.108] (7fb278fed6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.130] (7fb278fed6c0) INFO   OUTPUT: []
