[00:00:00.000] (7f01369f46c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.032] (7f01369f46c0) INFO   CONTAINER LIST: [{"TYPE": "CONTAINER", "NAME": "TEST-MongoDB-Ubuntu", "SNAPSHOTS": "1", "STATE": "STOPPED", "IPV6": "", "IPV4": ""}]
[00:00:00.032] (7f01369f46c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.057] (7f01369f46c0) INFO   OUTPUT: [{"STATE": "CREATED", "DESCRIPTION": "", "DRIVER": "btrfs", "NAME": "default", "": "", "SOURCE": "/var/lib/lxd/disks/default.img", "USED BY": "3"}]
[00:00:00.057] (7f01369f46c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.082] (7f01369f46c0) INFO   OUTPUT: []
[00:00:00.082] (7f01369f46c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.122] (7f01369f46c0) INFO   DATA: {"Type": "container", "Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:00.122] (7f01369f46c0) INFO   OUTPUT: {"Type": "container", "Status": "STOPPED", "Created": "2025/07/11 17:04 AEST", "Name": "TEST-MongoDB-Ubuntu", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:00.123] (7f01369f46c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.147] (7f01369f46c0) INFO   OUTPUT: []
