[00:00:00.000] (7fc262ff76c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.036] (7fc262ff76c0) INFO   CONTAINER LIST: [{"IPV4": "", "NAME": "TEST-MongoDB-Ubuntu", "STATE": "STOPPED", "IPV6": "", "TYPE": "CONTAINER", "SNAPSHOTS": "1"}]
[00:00:00.037] (7fc262ff76c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.062] (7fc262ff76c0) INFO   OUTPUT: [{"STATE": "CREATED", "NAME": "default", "DRIVER": "btrfs", "SOURCE": "/var/lib/lxd/disks/default.img", "": "", "USED BY": "3", "DESCRIPTION": ""}]
[00:00:00.063] (7fc262ff76c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.083] (7fc262ff76c0) INFO   OUTPUT: []
[00:00:00.083] (7fc262ff76c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.114] (7fc262ff76c0) INFO   DATA: {"Status": "STOPPED", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:00.114] (7fc262ff76c0) INFO   OUTPUT: {"Status": "STOPPED", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Name": "TEST-MongoDB-Ubuntu"}
[00:00:00.115] (7fc262ff76c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.141] (7fc262ff76c0) INFO   OUTPUT: []
