[00:00:00.000] (7f09463ef6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.036] (7f09463ef6c0) INFO   CONTAINER LIST: [{"IPV6": "", "TYPE": "CONTAINER", "NAME": "TEST-MongoDB-Ubuntu", "IPV4": "", "STATE": "STOPPED", "SNAPSHOTS": "1"}]
[00:00:00.036] (7f09463ef6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.057] (7f09463ef6c0) INFO   OUTPUT: [{"NAME": "default", "DESCRIPTION": "", "STATE": "CREATED", "": "", "SOURCE": "/var/lib/lxd/disks/default.img", "DRIVER": "btrfs", "USED BY": "3"}]
[00:00:00.058] (7f09463ef6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.082] (7f09463ef6c0) INFO   OUTPUT: []
[00:00:00.082] (7f09463ef6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.115] (7f09463ef6c0) INFO   DATA: {"Architecture": "x86_64", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.115] (7f09463ef6c0) INFO   OUTPUT: {"Architecture": "x86_64", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Created": "2025/07/11 17:04 AEST", "Type": "container", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.115] (7f09463ef6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.138] (7f09463ef6c0) INFO   OUTPUT: []
