[00:00:00.000] (7fbd73dfe6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.054] (7fbd73dfe6c0) INFO   CONTAINER LIST: [{"IPV6": "", "IPV4": "", "STATE": "STOPPED", "TYPE": "CONTAINER", "SNAPSHOTS": "1", "NAME": "TEST-MongoDB-Ubuntu"}]
[00:00:00.054] (7fbd73dfe6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.078] (7fbd73dfe6c0) INFO   OUTPUT: [{"NAME": "default", "STATE": "CREATED", "USED BY": "3", "": "", "SOURCE": "/var/lib/lxd/disks/default.img", "DRIVER": "btrfs", "DESCRIPTION": ""}]
[00:00:00.079] (7fbd73dfe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.102] (7fbd73dfe6c0) INFO   OUTPUT: []
[00:00:00.103] (7fbd73dfe6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.134] (7fbd73dfe6c0) INFO   DATA: {"Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:00.134] (7fbd73dfe6c0) INFO   OUTPUT: {"Name": "TEST-MongoDB-Ubuntu", "Status": "STOPPED", "Type": "container", "Created": "2025/07/11 17:04 AEST", "Last Used": "2025/07/11 17:05 AEST", "Architecture": "x86_64"}
[00:00:00.134] (7fbd73dfe6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.154] (7fbd73dfe6c0) INFO   OUTPUT: []
