[00:00:00.000] (7f5dc43ec6c0) INFO   CALLED COMMAND: lxc ["list"]
[00:00:00.031] (7f5dc43ec6c0) INFO   CONTAINER LIST: [{"IPV6": "", "SNAPSHOTS": "1", "TYPE": "CONTAINER", "STATE": "STOPPED", "IPV4": "", "NAME": "TEST-MongoDB-Ubuntu"}]
[00:00:00.031] (7f5dc43ec6c0) INFO   CALLED COMMAND: lxc ["storage", "list"]
[00:00:00.055] (7f5dc43ec6c0) INFO   OUTPUT: [{"NAME": "default", "STATE": "CREATED", "DRIVER": "btrfs", "SOURCE": "/var/lib/lxd/disks/default.img", "USED BY": "3", "DESCRIPTION": "", "": ""}]
[00:00:00.055] (7f5dc43ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "ps", "aux"]
[00:00:00.076] (7f5dc43ec6c0) INFO   OUTPUT: []
[00:00:00.076] (7f5dc43ec6c0) INFO   CALLED COMMAND: lxc ["info", "TEST-MongoDB-Ubuntu"]
[00:00:00.108] (7f5dc43ec6c0) INFO   DATA: {"Type": "container", "Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.108] (7f5dc43ec6c0) INFO   OUTPUT: {"Type": "container", "Created": "2025/07/11 17:04 AEST", "Status": "STOPPED", "Name": "TEST-MongoDB-Ubuntu", "Architecture": "x86_64", "Last Used": "2025/07/11 17:05 AEST"}
[00:00:00.108] (7f5dc43ec6c0) INFO   CALLED COMMAND: lxc ["exec", "TEST-MongoDB-Ubuntu", "--", "df", "-h"]
[00:00:00.128] (7f5dc43ec6c0) INFO   OUTPUT: []
